"team","state","year","value","value_int","supplier","value_add_05","value_add_10","value_add_15","value_sub_05","value_sub_10","value_sub_15","wage_value","wage_value_percent","wage_value_percent_int","ipca_value","access_date","source"
"São Paulo","SP","2015","199.0","199","Under Armour","208","218","228","189","179","169","788.0","25.25","25","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"São Paulo","SP","2016","229.9","229","Under Armour","240","251","263","217","206","194","880.0","26.02","26","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"São Paulo","SP","2017","249.99","249","Under Armour","261","273","286","236","224","211","937.0","26.57","26","2.95","2025-02-23","https://mantosdofutebol.com.br/2017/04/camisas-sao-paulo-fc-2017-2018-under-armour/"
"São Paulo","SP","2018","249.9","249","Adidas","261","273","286","236","224","211","954.0","26.1","26","3.75","2025-01-05","https://www.espn.com.br/esports/artigo/_/id/4339344/paixao-tem-preco-veja-diferenca-de-valor-entre-camisas-de-esportes-eletronicos-e-tradicionais"
"São Paulo","SP","2019","249.99","249","Adidas","261","273","286","236","224","211","998.0","24.95","24","4.31","2025-02-23","https://mantosdofutebol.com.br/2019/03/camisas-sao-paulo-2019-2020-adidas/"
"São Paulo","SP","2020","249.99","249","Adidas","261","273","286","236","224","211","1045.0","23.83","23","4.52","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"São Paulo","SP","2021","279.99","279","Adidas","292","306","320","265","251","237","1100.0","25.36","25","10.06","2025-02-23","https://spfc.net/news.asp?nID=197824"
"São Paulo","SP","2022","299.0","299","Adidas","313","328","343","284","269","254","1212.0","24.67","24","5.79","2025-02-23","https://ge.globo.com/futebol/times/sao-paulo/noticia/noticia-sao-paulo-camisa-nova-2022-libertadores.ghtml"
"São Paulo","SP","2023","349.0","349","Adidas","366","383","401","331","314","296","1320.0","26.44","26","4.62","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"São Paulo","SP","2024","349.99","349","New Balance","366","383","401","331","314","296","1412.0","24.72","24","4.83","2025-02-23","https://ge.globo.com/futebol/times/sao-paulo/noticia/2024/01/18/sao-paulo-lanca-novas-camisas-e-anuncia-parceiro-master-veja-imagens.ghtml"
"Santos","SP","2013","199.9","199","Nike","208","218","228","189","179","169","678.0","29.35","29","5.91","2025-02-23","https://mantosdofutebol.com.br/2013/05/camisa-titular-do-santos-2013-2014/"
